STT;Từ vựng;Nghĩa Tiếng Việt;Câu ví dụ;Các cụm từ thường gặp đi kèm Part 6
1;Carry;Mang, vác, chuyên chở, cư xử;"Let me carry that for you. 
Hãy để tôi mang cái này cho bạn.";Take over: phụ trách, tiếp quản hoặc là nắm quyền kiểm soát hoặc thay thế ai hay cái gì đó 
2;Casual;Bình thường;"His eyes were angry, though he sounded casual. 
Ánh mắt anh ấy trông giận dữ mặc dù anh ấy nói chuyện rất bình thường.";Give place to: nhường chỗ 
3;Casually;Giản dị, bình thường;"We were told to dress casually for the party. 
Chúng tôi được yêu cầu ăn mặc giản dị cho bữa tiệc";Pay attention to: chú ý 
4;Argue;Tranh luận;"I argued with my boyfriend about the house’s decoration 
Tôi đã cãi nhau với bạn trai mình về đồ trang trí của ngôi nhà";Put an end to: kết thúc 
5;Branch;Chi nhánh;"That restaurant will be going to open two new branches next month. 
Nhà hàng đó sẽ mở thêm hai chi nhánh trong tháng tới";Keep correspondence with: liên lạc thư từ 
6;Conference;Hội nghị;"I have to attend a conference about gender quality at my workplace. 
Tôi phải tham dự một hội nghị về bình đẳng giới tính ở chỗ làm việc";Lose touch with: mất liên lạc 
7;Budget;Ngân sách;"We have to consider carefully on spending because our budget is limited 
Chúng ta phải cân nhắc kỹ lưỡng về việc chi tiêu tại vì ngân sách của chúng ta có hạn";Make a decision on: quyết định 
8;Centralize;Tập trung;"A fully centralized healthcare system seems to protect them better. 
Một hệ thống y tế tập trung có vẻ sẽ bảo vệ chúng ta tốt hơn.";Take account of: lưu tâm 
9;Certain;Chắc chắn;"It is certain that we can not play soccer in the rain. 
Chắc chắn rằng chúng ta không thể đá bóng dưới trời mưa.";Come off: tróc ra, sút ra 
10;Receptionist;Nhân viên lễ tân;"I was wondering where was my room when a receptionist came and showed me the way 
Tôi đang thắc mắc xem phòng của mình ở đâu thì nhân viên lễ tân đã đến và chỉ đường cho tôi";Come up against s.th: đối mặt với cái gì đó 
11;Certainty;Sự chắc chắn;"He stood up and declared his faith with absolute certainty. 
Anh đứng lên và tuyên bố niềm tin của mình một cách chắc chắn tuyệt đối.";Come up with: nghĩ ra 
