Thì (Tense);Câu chủ động (Active);Câu bị động (Passive);Ví dụ;;
Hiện tại đơn;S + V(s/es) + O;S + am/is/are + V3/ed;"Orange is collected by the farmer. 
Cam được thu hoạch bởi người nông dân. ";;
Hiện tại tiếp diễn;S + am/is/are + V-ing + O;S + am/is/are + being  V3/ed;"Cars are being repaired by a mechanic. 
Những cái xe đang được sửa bởi người thợ cơ khí. ";;
Hiện tại hoàn thành;S + have/has + P2 + O;S + have/has + been + V3/ed;"Flowers have been sold by her.
Hoa đã được bán bởi cô ấy.";;
Hiện tại hoàn thành tiếp diễn;S + have/has + been + V-ing + O;S + have/ has been being + V3/ed;"The earphone has been being used for almost 2 years. 
Tai nghe đó đã được sử dụng gần 2 năm rồi.";;
Quá khứ đơn;S + V(ed/Ps) + O;S + was/were + V3/ed;"The house was built in 1990. 
Ngôi nhà được xây dựng vào năm 1990.";;
Quá khứ tiếp diễn;S + was/were + V-ing + O;S + was/were + being + V3/ed;"The car was being repaired when the owner came to pick it up. 
Chiếc xe đang được sửa chữa khi chủ xe đến lấy nó.";;
Quá khứ hoàn thành;S + had + P2 + O;S + had + been + V3/ed;"The meal had been cooked by the chef before the guests arrived. 
Bữa ăn đã được đầu bếp nấu xong trước khi khách đến.";;
Quá khứ hoàn thành tiếp diễn;S + hadn’t + been + V-ing + O;S + had been being + V3/ed;"The room had been being decorated for two weeks before the party. 
 Phòng đã được trang trí trong suốt hai tuần trước khi tiệc bắt đầu.";;
Tương lai đơn;S + will + V-infi + O;S + will + be + V3/ed;"The new building will be completed by the end of next year. 
Tòa nhà mới sẽ được hoàn thành vào cuối năm tới.";;
Tương lai tiếp diễn;S + will + have + P2 + O;S + will + have + been + V3/ed;"By the end of next year, the new airport will be being built by the government. 
Vào cuối năm tới, sân bay mới sẽ đang được chính phủ xây dựng.";;
Tương lai hoàn thành;S + am/is/are going to + V-infi + O;S + am/is/are going to + be + V3/ed;"The project will have been completed by the end of next month. 
Dự án sẽ đã được hoàn thành vào cuối tháng tới.";;
Tương lai hoàn thành tiếp diễn;S + will + have + been + V-ing + O;S + will have been being + V3/ed;"The film will have been being shot for six months by the time it is released. 
Phim sẽ đã được quay trong sáu tháng trước khi được phát hành
";;
Động từ khuyết thiếu;S + ĐTKT + V-infi + O;S + ĐTKT + be + V3/ed;"Your mom must be so proud of you.
Mẹ bạn chắc hẵn rất tự hào về bạn.";;
Dạng nguyên mẫu;send (gửi);sent;;;
Dạng To + Verb;to send;to be sent;;;
Dạng V-ing;sending;being sent;;;
Dạng V3/ Ved;sent;have been sent;;;
Hiện tại đơn;send;am/is/are sent;;;
Hiện tại tiếp diễn;am/is/are sending;am/is/are being sent;;;
Hiện tại hoàn thành;have/ has sent;have/ has been sent;;;
Hiện tại hoàn thành tiếp diễn;have/ has been sending;have/ has been being sent;;;
Quá khứ đơn;sent;was/were sent;;;
Quá khứ tiếp diễn;was/were sending;was/were being sent;;;
Quá khứ hoàn thành;had sent;had been sent;;;
Quá khứ hoàn thành tiếp diễn;had been sending;had been being sent;;;
Tương lai đơn;will send;will be sent;;;
Tương lai tiếp diễn;will be sending;will be being sent;;;
Tương lai hoàn thành;will have sent;will have been sent;;;
Tương lai hoàn thành tiếp diễn;will have been sending;will have been being sent;;;
