STT;Từ vựng;Phiên âm IPA;Nghĩa tiếng Việt;Câu ví dụ;
1;Adjustment (n);/əˈdʒʌst.mənt/;Điều chỉnh, sửa đổi;Adjustment to the schedule is necessary due to unexpected circumstances.;
2;Boardroom (n);/ˈbɔːd.ruːm/;Phòng họp của ban giám đốc;The executives gathered in the boardroom to discuss the quarterly results.;
3;Commute (v);/kəˈmjuːt/;Đi lại, di chuyển;She commutes to work by bike every day, rain or shine.;
4;Deadline (n);/ˈded.laɪn/;Hạn chót;We need to meet the deadline for submitting the project proposal.;
5;Expert (n);/ˈek.spɜːt/;Chuyên gia;The company hired an expert consultant to improve efficiency.;
6;Investment (n);/ɪnˈvest.mənt/;Đầu tư;The company made a significant investment in new technology.;
7;Mailroom (n);/ˈmeɪlruːm/;Phòng văn thư;The mailroom processes hundreds of letters and packages each day.;
8;Negotiation (n);/nəˌɡəʊ.ʃiˈeɪ.ʃən/;Đàm phán;The negotiation with the supplier led to a favorable contract.;
9;Outsource (v);/ˈaʊt.sɔːs/;Thuê từ bên ngoài;The company decided to outsource its IT services to reduce costs.;
10;Production line (n);/prəˈdʌk.ʃən ˌlaɪn/;Dây chuyền sản xuất;The production line is operating at full capacity to meet demand.;
11;Receptionist (n);/rɪˈsep.ʃən.ɪst/;Vị trí lễ tân;She applied for the receptionist position at the new hotel.;
12;Reschedule (v);/ˌriːˈʃedʒ.uːl/;Sắp ngày khác (cho cuộc họp);We had to reschedule the meeting due to conflicting schedules.;
13;Support (n);/səˈpɔːt/;Hỗ trợ;The support team resolved the technical issue promptly.;
14;Supplier (n);/səˈplaɪ.ər/;Nhà cung ứng;The supplier delivers fresh produce to the restaurant daily.;
15;Teleconference (n);/ˌtel.ɪˈkɒn.fər.əns/;Hội nghị viễn liên;The teleconference allowed participants to join from different locations.;
16;Understaffed (adj);/ˌʌn.dəˈstɑːft/;Thiếu nhân viên;The department is understaffed and struggling to meet deadlines.;
17;Promotion (n);/prəˈməʊ.ʃən/;Thăng chức;After years of hard work, she finally got a promotion to manager.;
18;Meet the deadline;/miːt ðə ˈdɛd.laɪn/;Hoàn thành đúng hạn;I need to meet the deadline on time.;
19;Reserve (v);/rɪˈzɜːv/;Đặt trước;We need to reserve a hotel room for the trip.;
20;Destination (n);/ˌdes.tɪˈneɪ.ʃən/;Điểm đến;Paris is a popular destination for tourists.;
21;Picturesque (adj);/ˌpɪk.tʃərˈesk/;Đẹp như tranh vẽ;The village is known for its picturesque scenery.;
22;Explore (v);/ɪkˈsplɔːr/;Khám phá;We decided to explore the countryside.;
23;Adventurous (adj);/ədˈven.tʃər.əs/;Mạo hiểm, phiêu lưu;They embarked on an adventurous journey through the jungle.;
24;Exotic (adj);/ɪɡˈzɒt.ɪk/;Kỳ lạ, độc đáo;They sampled exotic cuisine during their trip.;
25;Freely (adv);/ˈfriː.li/;Một cách tự do, thoải mái;They explored the city freely on foot.;
26;Cautiously (adv);/ˈkɔː.ʃəs.li/;Một cách thận trọng;He cautiously approached the edge of the cliff.;
27;Sightseeing (n);/ˈsaɪtˌsiː.ɪŋ/;Tham quan;We did some sightseeing around the city.;
28;Accommodation (n);/əˌkɒm.əˈdeɪ.ʃən/;Chỗ ở;We booked accommodation near the beach.;
29;Itinerary (n);/aɪˈtɪn.ər.ər.i/;Lịch trình;Our itinerary includes visits to five cities.;
30;Discover (v);/dɪˈskʌv.ər/;Khám phá, tìm ra;We discovered a hidden gem in the old town.;
31;Bargain (n);/ˈbɑː.ɡɪn/;Món hời;She got a bargain on the dress at the sale.;
32;Discount (n);/ˈdɪs.kaʊnt/;Giảm giá;They offered a 20% discount on all items.;
33;Checkout (n);/ˈtʃek.aʊt/;Quầy thanh toán;Let's head to the checkout to pay for our items.;
34;Receipt (n);/rɪˈsiːt/;Hóa đơn;Don't forget to keep your receipt for returns.;
35;Refund (n);/ˈriː.fʌnd/;Hoàn tiền;They offered a refund for the defective product.;
36;Purchase (n);/ˈpɜː.tʃəs/;Sự mua sắm;His latest purchase was a new laptop.;
37;Exchange (v);/ɪksˈtʃeɪndʒ/;Trao đổi;She exchanged the shirt for a different size.;
38;Boutique (n);/buːˈtiːk/;Cửa hàng thời trang;She loves shopping at trendy boutiques.;
39;Cart (n);/kɑːt/;Xe đẩy;She loaded the cart with groceries at the store.;
40;Clearance (n);/ˈklɪə.rəns/;Giảm giá hàng loạt;They're having a clearance sale on winter items.;
41;Brand (n);/brænd/;Thương hiệu;She prefers to buy shoes from a reputable brand.;
42;Catalog (n);/ˈkæt.əl.ɒɡ/;Danh mục;She ordered the dress from the catalog.;
43;Sale (n);/seɪl/;Đợt giảm giá;They're having a big sale next weekend.;
44;Payment method (n);/ˈpeɪmənt ˈmeθ.əd/;Phương thức thanh toán;We accept various payment methods including cash and credit cards.;
45;Concert (n);/ˈkɒn.sət/;Buổi hòa nhạc;They attended a concert last night.;
46;Movie (n);/ˈmuː.vi/;Phim;They're going to watch a movie at the cinema.;
47;Theater (n);/ˈθɪə.tər/;Rạp chiếu phim, nhà hát;They're going to the theater to see a play.;
48;Game (n);/ɡeɪm/;Trò chơi;They enjoy playing video games together.;
49;Festival (n);/ˈfes.tɪ.vəl/;Lễ hội;They're attending a music festival this weekend.;
50;Performance (n);/pəˈfɔː.məns/;Buổi biểu diễn;The circus performance was amazing.;
51;Comedy (n);/ˈkɒm.ə.di/;Hài kịch;They watched a comedy show on TV last night.;
52;Exhibition (n);/ˌek.sɪˈbɪʃ.ən/;Triển lãm;They're visiting an art exhibition at the museum.;
53;Amusement park (n);/əˈmjuːz.mənt ˌpɑːk/;Công viên giải trí;They had a fun day at the amusement park.;
54;Opera (n);/ˈɒp.ər.ə/;Nhạc kịch;They're going to see an opera tonight.;
55;Musical (n);/ˈmjuː.zɪ.kəl/;Nhạc kịch;They watched a musical at the theater.;
56;Art gallery (n);/ˈɑːt ˌɡæl.ər.i/;Phòng trưng bày nghệ thuật;They visited an art gallery downtown.;
57;Theme park (n);/ˈθiːm ˌpɑːk/;Công viên giải trí;They spent the day at the theme park riding roller coasters.;
58;Parade (n);/pəˈreɪd/;Cuộc diễu hành;They watched the parade on Independence Day.;
59;Ceremony (n);/ˈser.ɪ.mə.ni/;Buổi lễ;They attended the opening ceremony of the Olympics.;
60;Festival (n);/ˈfes.tɪ.vəl/;Lễ hội;They're attending a music festival this weekend.;
61;Gala (n);/ˈɡɑː.lə/;Buổi liên hoan;They attended the charity gala last night.;
62;Ball (n);/bɔːl/;Đêm dạ hội;They went to the masquerade ball at the palace.;
63;Fair (n);/feər/;Hội chợ;They enjoyed the food at the street fair.;
64;Carnival (n);/ˈkɑː.nɪ.vəl/;Lễ hội;The city celebrates Carnival with colorful parades.;
65;Cultural event (n);/ˈkʌl.tʃər.əl ɪˈvent/;Sự kiện văn hóa;They organized a cultural event to showcase local traditions.;
66;Fundraiser (n);/ˈfʌndˌreɪ.zər/;Buổi gây quỹ;They attended the fundraiser for cancer research.;
67;Lecture (n);/ˈlek.tʃər/;Bài giảng;They're going to the lecture on climate change.;
68;Workshop (n);/ˈwɜːk.ʃɒp/;Hội thảo;They participated in a workshop on leadership skills.;
69;Post office (n);/ˈpəʊst ˌɒf.ɪs/;Bưu điện;He went to the post office to mail his package.;
70;Stamp (n);/stæmp/;Tem thư;Don't forget to put a stamp on the envelope.;
71;Mailbox (n);/ˈmeɪl.bɒks/;Hòm thư;She checked the mailbox for any new letters.;
72;Parcel (n);/ˈpɑː.səl/;Bưu kiện;He received a parcel in the mail today.;
73;Envelope (n);/ˈen.və.ləʊp/;Bao thư;She sealed the envelope before sending the letter.;
74;Bank (n);/bæŋk/;Ngân hàng;He went to the bank to deposit his paycheck.;
