Thì;"Cấu trúc (Khẳng định; Phủ định; Nghi vấn)";Dấu hiệu nhận biết;Ví dụ
Hiện tại đơn;"Khẳng định: S + V(s/es)
Phủ định: S + don't/doesn't + V
Nghi vấn: Do/Does + S + V?";Always (luôn luôn), usually (thường xuyên), often (thường), every day (mỗi ngày), never (không bao giờ);He works every day. (Anh ấy làm việc mỗi ngày.)
Hiện tại tiếp diễn;"Khẳng định: S + am/is/are + V-ing
Phủ định: S + am/is/are not + V-ing
Nghi vấn: Am/Is/Are + S + V-ing?";Now (bây giờ), right now (ngay lúc này), at the moment (lúc này), currently (hiện tại), still (vẫn còn);She is working right now. (Cô ấy đang làm việc ngay lúc này.)
Tương lai đơn;"Khẳng định: S + will + V
Phủ định: S + will not + V
Nghi vấn: Will + S + V?";Tomorrow (ngày mai), next week (tuần tới), in the future (trong tương lai), soon (sớm), later (sau này);They will arrive tomorrow. (Họ sẽ đến vào ngày mai.)
Quá khứ đơn;"Khẳng định: S + V2/ed
Phủ định: S + didn't + V
Nghi vấn: Did + S + V?";Yesterday (hôm qua), last night (tối qua), ago (cách đây), in 1999 (vào năm 1999), when (khi);She went to the party yesterday. (Cô ấy đã đi dự tiệc hôm qua.)
Quá khứ tiếp diễn;"Khẳng định: S + was/were + V-ing
Phủ định: S + was/were not + V-ing
Nghi vấn: Was/Were + S + V-ing?";At 5 o'clock yesterday (vào lúc 5 giờ hôm qua), while (trong khi), when (khi), at that moment (lúc đó);They were watching TV when I called. (Họ đang xem TV khi tôi gọi.)
Hiện tại hoàn thành;"Khẳng định: S + have/has + V3/ed
Phủ định: S + haven't/hasn't + V3/ed
Nghi vấn: Have/Has + S + V3/ed?";For (đã được), since (từ khi), already (đã), yet (chưa), just (vừa mới), ever (từng), never (không bao giờ);I have finished my homework. (Tôi đã hoàn thành bài tập về nhà của mình.)
Hiện tại hoàn thành tiếp diễn;"Khẳng định: S + have/has + been + V-ing
Phủ định: S + haven't/hasn't + been + V-ing
Nghi vấn: Have/Has + S + been + V-ing?";For (đã được), since (từ khi), all day (cả ngày), the whole time (suốt thời gian qua);He has been working here for five years. (Anh ấy đã làm việc ở đây được 5 năm.)
Quá khứ hoàn thành;"Khẳng định: S + had + V3/ed
Phủ định: S + hadn't + V3/ed
Nghi vấn: Had + S + V3/ed?";Before (trước khi), by the time (vào lúc), after (sau khi), when (khi);They had left before we arrived. (Họ đã rời đi trước khi chúng tôi đến.)
Tương lai hoàn thành;"Khẳng định: S + will have + V3/ed
Phủ định: S + will not have + V3/ed
Nghi vấn: Will + S + have + V3/ed?";By the end of this week (cuối tuần này), by tomorrow (trước ngày mai), by then (trước đó);By the end of this year, she will have graduated. (Cuối năm nay, cô ấy sẽ tốt nghiệp.)
Tương lai gần;"Khẳng định: S + am/is/are going to + V
Phủ định: S + am/is/are not going to + V
Nghi vấn: Am/Is/Are + S + going to + V?";Soon (sớm), tomorrow (ngày mai), in a few moments (trong vài phút nữa);I am going to visit my parents tomorrow. (Tôi dự định thăm bố mẹ tôi vào ngày mai.)
